pattern,n,operation,structure,time_us
Partially Sorted,3000,Single Insert,TreeMap,0.048
Partially Sorted,3500,Single Insert,TreeMap,0.046
Partially Sorted,4000,Single Insert,TreeMap,0.047
Partially Sorted,4500,Single Insert,TreeMap,0.05
Partially Sorted,5000,Single Insert,TreeMap,0.05
Partially Sorted,6000,Single Insert,TreeMap,0.053
Partially Sorted,7000,Single Insert,TreeMap,0.058
Partially Sorted,8000,Single Insert,TreeMap,0.058
Partially Sorted,9000,Single Insert,TreeMap,0.054
Partially Sorted,10000,Single Insert,TreeMap,0.056
Random,100,Search (hit),Treap,29.72
Random,200,Search (hit),Treap,27.02
Random,300,Search (hit),Treap,35.86
Random,400,Search (hit),Treap,36.16
Random,500,Search (hit),Treap,37.22
Random,600,Search (hit),Treap,36.68
Random,700,Search (hit),Treap,46.52
Random,800,Search (hit),Treap,59.8
Random,900,Search (hit),Treap,78.78
Random,1000,Search (hit),Treap,93.98
Random,1500,Search (hit),Treap,147.26
Random,2000,Search (hit),Treap,213.38
Random,2500,Search (hit),Treap,306.62
Random,3000,Search (hit),Treap,356.98
Random,3500,Search (hit),Treap,464.4
Random,4000,Search (hit),Treap,621.36
Random,4500,Search (hit),Treap,553.98
Random,5000,Search (hit),Treap,664.4
Random,6000,Search (hit),Treap,894.82
Random,7000,Search (hit),Treap,988.94
Random,8000,Search (hit),Treap,1164.08
Random,9000,Search (hit),Treap,1613.64
Random,10000,Search (hit),Treap,1528.58
Random,100,Search (hit),AVLTreeMap,16.04
Random,200,Search (hit),AVLTreeMap,25.26
Random,300,Search (hit),AVLTreeMap,35.32
Random,400,Search (hit),AVLTreeMap,37.28
Random,500,Search (hit),AVLTreeMap,29.18
Random,600,Search (hit),AVLTreeMap,36.32
Random,700,Search (hit),AVLTreeMap,47.32
Random,800,Search (hit),AVLTreeMap,57.48
Random,900,Search (hit),AVLTreeMap,65.34
Random,1000,Search (hit),AVLTreeMap,78.38
Random,1500,Search (hit),AVLTreeMap,136.18
Random,2000,Search (hit),AVLTreeMap,189.5
Random,2500,Search (hit),AVLTreeMap,268.12
Random,3000,Search (hit),AVLTreeMap,368.82
